__time,/pez/service_rtt_magnet/call_id,/pez/service_rtt_magnet/request_stamp/nanosec,/pez/service_rtt_magnet/request_stamp/sec,/pez/service_rtt_magnet/response_stamp/nanosec,/pez/service_rtt_magnet/response_stamp/sec,/pez/service_rtt_magnet/rtt/nanosec,/pez/service_rtt_magnet/rtt/sec,/pez/service_rtt_magnet/success,/pez/service_rtt_neutral/call_id,/pez/service_rtt_neutral/request_stamp/nanosec,/pez/service_rtt_neutral/request_stamp/sec,/pez/service_rtt_neutral/response_stamp/nanosec,/pez/service_rtt_neutral/response_stamp/sec,/pez/service_rtt_neutral/rtt/nanosec,/pez/service_rtt_neutral/rtt/sec,/pez/service_rtt_neutral/success,/pez/service_rtt_start/call_id,/pez/service_rtt_start/request_stamp/nanosec,/pez/service_rtt_start/request_stamp/sec,/pez/service_rtt_start/response_stamp/nanosec,/pez/service_rtt_start/response_stamp/sec,/pez/service_rtt_start/rtt/nanosec,/pez/service_rtt_start/rtt/sec,/pez/service_rtt_start/success,/pez/service_rtt_stop/call_id,/pez/service_rtt_stop/request_stamp/nanosec,/pez/service_rtt_stop/request_stamp/sec,/pez/service_rtt_stop/response_stamp/nanosec,/pez/service_rtt_stop/response_stamp/sec,/pez/service_rtt_stop/rtt/nanosec,/pez/service_rtt_stop/rtt/sec,/pez/service_rtt_stop/success,rt_ms_stop,rtt_ms_magnet,rtt_ms_neutral,rtt_ms_start
1753950819.386133,11.000000000,997338448.000000000,1753950818.000000000,9091510.000000000,1753950819.000000000,11753062.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,11.753062000,,
1753950819.886056,,,,,,,,,12.000000000,497320129.000000000,1753950819.000000000,509188680.000000000,1753950819.000000000,11868551.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,11.868551000,
1753950820.885555,13.000000000,497296041.000000000,1753950820.000000000,508521788.000000000,1753950820.000000000,11225747.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,11.225747000,,
1753950821.425032,,,,,,,,,,,,,,,,,,,,,,,,,14.000000000,997338754.000000000,1753950820.000000000,47463042.000000000,1753950821.000000000,50124288.000000000,0.000000000,1.000000000,50.124288000,,,
1753950821.886327,,,,,,,,,,,,,,,,,15.000000000,497233722.000000000,1753950821.000000000,508748242.000000000,1753950821.000000000,11514520.000000000,0.000000000,1.000000000,,,,,,,,,,,,11.514520000
1753950822.385291,16.000000000,997292429.000000000,1753950821.000000000,6889168.000000000,1753950822.000000000,9596739.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,9.596739000,,
1753950822.885357,,,,,,,,,17.000000000,497278432.000000000,1753950822.000000000,507726563.000000000,1753950822.000000000,10448131.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,10.448131000,
1753950823.885148,18.000000000,497381156.000000000,1753950823.000000000,508033883.000000000,1753950823.000000000,10652727.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,10.652727000,,
1753950824.425070,,,,,,,,,,,,,,,,,,,,,,,,,19.000000000,997193393.000000000,1753950823.000000000,47477764.000000000,1753950824.000000000,50284371.000000000,0.000000000,1.000000000,50.284371000,,,
1753950824.884890,,,,,,,,,,,,,,,,,20.000000000,497353784.000000000,1753950824.000000000,507289316.000000000,1753950824.000000000,9935532.000000000,0.000000000,1.000000000,,,,,,,,,,,,9.935532000
1753950825.386783,21.000000000,997366227.000000000,1753950824.000000000,9536268.000000000,1753950825.000000000,12170041.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,12.170041000,,
1753950825.885055,,,,,,,,,22.000000000,497321849.000000000,1753950825.000000000,507146193.000000000,1753950825.000000000,9824344.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,9.824344000,
1753950826.887895,23.000000000,497265670.000000000,1753950826.000000000,510686310.000000000,1753950826.000000000,13420640.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,13.420640000,,
1753950827.425535,,,,,,,,,,,,,,,,,,,,,,,,,24.000000000,997469823.000000000,1753950826.000000000,47198974.000000000,1753950827.000000000,49729151.000000000,0.000000000,1.000000000,49.729151000,,,
1753950827.885338,,,,,,,,,,,,,,,,,25.000000000,497318845.000000000,1753950827.000000000,507693183.000000000,1753950827.000000000,10374338.000000000,0.000000000,1.000000000,,,,,,,,,,,,10.374338000
1753950828.387151,26.000000000,997277607.000000000,1753950827.000000000,10134528.000000000,1753950828.000000000,12856921.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,12.856921000,,
1753950828.884698,,,,,,,,,27.000000000,497403899.000000000,1753950828.000000000,506658602.000000000,1753950828.000000000,9254703.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,9.254703000,
1753950829.885325,28.000000000,497274823.000000000,1753950829.000000000,507947251.000000000,1753950829.000000000,10672428.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,10.672428000,,
1753950830.425425,,,,,,,,,,,,,,,,,,,,,,,,,29.000000000,997359376.000000000,1753950829.000000000,47020470.000000000,1753950830.000000000,49661094.000000000,0.000000000,1.000000000,49.661094000,,,
1753950830.885601,,,,,,,,,,,,,,,,,30.000000000,497265683.000000000,1753950830.000000000,508363063.000000000,1753950830.000000000,11097380.000000000,0.000000000,1.000000000,,,,,,,,,,,,11.097380000
1753950831.386141,31.000000000,997323902.000000000,1753950830.000000000,9167686.000000000,1753950831.000000000,11843784.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,11.843784000,,
1753950831.903488,,,,,,,,,32.000000000,497332820.000000000,1753950831.000000000,505830937.000000000,1753950831.000000000,8498117.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,8.498117000,
1753950832.887364,33.000000000,497366829.000000000,1753950832.000000000,510041330.000000000,1753950832.000000000,12674501.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,12.674501000,,
1753950833.426136,,,,,,,,,,,,,,,,,,,,,,,,,34.000000000,997277209.000000000,1753950832.000000000,48586583.000000000,1753950833.000000000,51309374.000000000,0.000000000,1.000000000,51.309374000,,,
1753950833.884042,,,,,,,,,,,,,,,,,35.000000000,497228096.000000000,1753950833.000000000,505995053.000000000,1753950833.000000000,8766957.000000000,0.000000000,1.000000000,,,,,,,,,,,,8.766957000
1753950834.385948,36.000000000,997179011.000000000,1753950833.000000000,8808200.000000000,1753950834.000000000,11629189.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,11.629189000,,
1753950834.887110,,,,,,,,,37.000000000,497271960.000000000,1753950834.000000000,505917423.000000000,1753950834.000000000,8645463.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,8.645463000,
1753950835.885263,38.000000000,497228911.000000000,1753950835.000000000,507931451.000000000,1753950835.000000000,10702540.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,10.702540000,,
1753950836.425011,,,,,,,,,,,,,,,,,,,,,,,,,39.000000000,997352059.000000000,1753950835.000000000,47098876.000000000,1753950836.000000000,49746817.000000000,0.000000000,1.000000000,49.746817000,,,
1753950836.889023,,,,,,,,,,,,,,,,,40.000000000,497243799.000000000,1753950836.000000000,509401322.000000000,1753950836.000000000,12157523.000000000,0.000000000,1.000000000,,,,,,,,,,,,12.157523000
1753950837.385640,41.000000000,997351509.000000000,1753950836.000000000,7991202.000000000,1753950837.000000000,10639693.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,10.639693000,,
1753950837.884517,,,,,,,,,42.000000000,497199074.000000000,1753950837.000000000,506472773.000000000,1753950837.000000000,9273699.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,9.273699000,
1753950838.883914,43.000000000,497065549.000000000,1753950838.000000000,507213599.000000000,1753950838.000000000,10148050.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,10.148050000,,
1753950839.425078,,,,,,,,,,,,,,,,,,,,,,,,,44.000000000,997262746.000000000,1753950838.000000000,46896568.000000000,1753950839.000000000,49633822.000000000,0.000000000,1.000000000,49.633822000,,,
1753950839.885920,,,,,,,,,,,,,,,,,45.000000000,497081652.000000000,1753950839.000000000,508126811.000000000,1753950839.000000000,11045159.000000000,0.000000000,1.000000000,,,,,,,,,,,,11.045159000
1753950840.384530,46.000000000,997289182.000000000,1753950839.000000000,7420341.000000000,1753950840.000000000,10131159.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,10.131159000,,
1753950840.884564,,,,,,,,,47.000000000,497275894.000000000,1753950840.000000000,506775281.000000000,1753950840.000000000,9499387.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,9.499387000,
1753950841.885426,48.000000000,497355153.000000000,1753950841.000000000,507911240.000000000,1753950841.000000000,10556087.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,10.556087000,,
1753950842.425167,,,,,,,,,,,,,,,,,,,,,,,,,49.000000000,997104103.000000000,1753950841.000000000,47112671.000000000,1753950842.000000000,50008568.000000000,0.000000000,1.000000000,50.008568000,,,
1753950842.884148,,,,,,,,,,,,,,,,,50.000000000,497276226.000000000,1753950842.000000000,506481015.000000000,1753950842.000000000,9204789.000000000,0.000000000,1.000000000,,,,,,,,,,,,9.204789000
1753950843.384396,51.000000000,997269338.000000000,1753950842.000000000,7437646.000000000,1753950843.000000000,10168308.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,10.168308000,,
1753950843.884262,,,,,,,,,52.000000000,497358923.000000000,1753950843.000000000,506626137.000000000,1753950843.000000000,9267214.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,9.267214000,
1753950844.885451,53.000000000,497082565.000000000,1753950844.000000000,508168602.000000000,1753950844.000000000,11086037.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,11.086037000,,
1753950845.426411,,,,,,,,,,,,,,,,,,,,,,,,,54.000000000,997296688.000000000,1753950844.000000000,48811858.000000000,1753950845.000000000,51515170.000000000,0.000000000,1.000000000,51.515170000,,,
1753950845.885617,,,,,,,,,,,,,,,,,55.000000000,497040055.000000000,1753950845.000000000,508024617.000000000,1753950845.000000000,10984562.000000000,0.000000000,1.000000000,,,,,,,,,,,,10.984562000
1753950846.385837,56.000000000,997155866.000000000,1753950845.000000000,7406972.000000000,1753950846.000000000,10251106.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,10.251106000,,
1753950846.884049,,,,,,,,,57.000000000,497258430.000000000,1753950846.000000000,506412786.000000000,1753950846.000000000,9154356.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,9.154356000,
1753950847.886094,58.000000000,497191463.000000000,1753950847.000000000,507712291.000000000,1753950847.000000000,10520828.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,10.520828000,,
1753950848.426408,,,,,,,,,,,,,,,,,,,,,,,,,59.000000000,997312523.000000000,1753950847.000000000,48813382.000000000,1753950848.000000000,51500859.000000000,0.000000000,1.000000000,51.500859000,,,
1753950848.886403,,,,,,,,,,,,,,,,,60.000000000,497151304.000000000,1753950848.000000000,508061253.000000000,1753950848.000000000,10909949.000000000,0.000000000,1.000000000,,,,,,,,,,,,10.909949000
1753950849.389874,61.000000000,997190715.000000000,1753950848.000000000,12487964.000000000,1753950849.000000000,15297249.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,15.297249000,,
1753950849.885771,,,,,,,,,62.000000000,497191316.000000000,1753950849.000000000,507994863.000000000,1753950849.000000000,10803547.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,10.803547000,
1753950850.886606,63.000000000,497135478.000000000,1753950850.000000000,509116147.000000000,1753950850.000000000,11980669.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,11.980669000,,
1753950851.425073,,,,,,,,,,,,,,,,,,,,,,,,,64.000000000,997207258.000000000,1753950850.000000000,47538708.000000000,1753950851.000000000,50331450.000000000,0.000000000,1.000000000,50.331450000,,,
1753950851.884489,,,,,,,,,,,,,,,,,65.000000000,497138667.000000000,1753950851.000000000,507315441.000000000,1753950851.000000000,10176774.000000000,0.000000000,1.000000000,,,,,,,,,,,,10.176774000
1753950852.386844,66.000000000,997247844.000000000,1753950851.000000000,9338299.000000000,1753950852.000000000,12090455.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,12.090455000,,
1753950852.884114,,,,,,,,,67.000000000,497228572.000000000,1753950852.000000000,506317397.000000000,1753950852.000000000,9088825.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,9.088825000,
1753950853.886007,68.000000000,497049820.000000000,1753950853.000000000,508568152.000000000,1753950853.000000000,11518332.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,11.518332000,,
1753950854.425653,,,,,,,,,,,,,,,,,,,,,,,,,69.000000000,997266702.000000000,1753950853.000000000,46612503.000000000,1753950854.000000000,49345801.000000000,0.000000000,1.000000000,49.345801000,,,
1753950854.883053,,,,,,,,,,,,,,,,,70.000000000,497205955.000000000,1753950854.000000000,505407328.000000000,1753950854.000000000,8201373.000000000,0.000000000,1.000000000,,,,,,,,,,,,8.201373000
1753950855.384914,71.000000000,997264576.000000000,1753950854.000000000,6376823.000000000,1753950855.000000000,9112247.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,9.112247000,,
1753950855.884200,,,,,,,,,72.000000000,497381129.000000000,1753950855.000000000,506540421.000000000,1753950855.000000000,9159292.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,9.159292000,
1753950856.886232,73.000000000,497419465.000000000,1753950856.000000000,509031374.000000000,1753950856.000000000,11611909.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,11.611909000,,
1753950857.425715,,,,,,,,,,,,,,,,,,,,,,,,,74.000000000,997273883.000000000,1753950856.000000000,46898195.000000000,1753950857.000000000,49624312.000000000,0.000000000,1.000000000,49.624312000,,,
1753950857.884454,,,,,,,,,,,,,,,,,75.000000000,497136410.000000000,1753950857.000000000,506563267.000000000,1753950857.000000000,9426857.000000000,0.000000000,1.000000000,,,,,,,,,,,,9.426857000
1753950858.385851,76.000000000,997192137.000000000,1753950857.000000000,7976633.000000000,1753950858.000000000,10784496.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,10.784496000,,
1753950858.883718,,,,,,,,,77.000000000,497246287.000000000,1753950858.000000000,506563901.000000000,1753950858.000000000,9317614.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,9.317614000,
1753950859.884790,78.000000000,497190970.000000000,1753950859.000000000,507579943.000000000,1753950859.000000000,10388973.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,10.388973000,,
1753950860.425761,,,,,,,,,,,,,,,,,,,,,,,,,79.000000000,997190140.000000000,1753950859.000000000,46947173.000000000,1753950860.000000000,49757033.000000000,0.000000000,1.000000000,49.757033000,,,
1753950860.884089,,,,,,,,,,,,,,,,,80.000000000,497388855.000000000,1753950860.000000000,506348173.000000000,1753950860.000000000,8959318.000000000,0.000000000,1.000000000,,,,,,,,,,,,8.959318000
1753950861.385892,81.000000000,997209259.000000000,1753950860.000000000,8297134.000000000,1753950861.000000000,11087875.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,11.087875000,,
1753950861.883990,,,,,,,,,82.000000000,497176979.000000000,1753950861.000000000,507118717.000000000,1753950861.000000000,9941738.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,9.941738000,
1753950862.883370,83.000000000,497152274.000000000,1753950862.000000000,506442727.000000000,1753950862.000000000,9290453.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,9.290453000,,
1753950863.424848,,,,,,,,,,,,,,,,,,,,,,,,,84.000000000,997297832.000000000,1753950862.000000000,46264236.000000000,1753950863.000000000,48966404.000000000,0.000000000,1.000000000,48.966404000,,,
1753950863.883105,,,,,,,,,,,,,,,,,85.000000000,497022135.000000000,1753950863.000000000,504966294.000000000,1753950863.000000000,7944159.000000000,0.000000000,1.000000000,,,,,,,,,,,,7.944159000
1753950864.386278,86.000000000,997356596.000000000,1753950863.000000000,9261593.000000000,1753950864.000000000,11904997.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,11.904997000,,
1753950864.885664,,,,,,,,,87.000000000,497243968.000000000,1753950864.000000000,507732993.000000000,1753950864.000000000,10489025.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,10.489025000,
1753950865.885648,88.000000000,497109558.000000000,1753950865.000000000,508292748.000000000,1753950865.000000000,11183190.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,11.183190000,,
1753950866.427228,,,,,,,,,,,,,,,,,,,,,,,,,89.000000000,997298001.000000000,1753950865.000000000,46820941.000000000,1753950866.000000000,49522940.000000000,0.000000000,1.000000000,49.522940000,,,
1753950866.883187,,,,,,,,,,,,,,,,,90.000000000,497324498.000000000,1753950866.000000000,505476375.000000000,1753950866.000000000,8151877.000000000,0.000000000,1.000000000,,,,,,,,,,,,8.151877000
1753950867.385806,91.000000000,997227055.000000000,1753950866.000000000,7100051.000000000,1753950867.000000000,9872996.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,9.872996000,,
1753950867.887852,,,,,,,,,92.000000000,497210718.000000000,1753950867.000000000,510110989.000000000,1753950867.000000000,12900271.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,12.900271000,
1753950868.883933,93.000000000,497299151.000000000,1753950868.000000000,505392698.000000000,1753950868.000000000,8093547.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,8.093547000,,
1753950869.425683,,,,,,,,,,,,,,,,,,,,,,,,,94.000000000,997333086.000000000,1753950868.000000000,48079527.000000000,1753950869.000000000,50746441.000000000,0.000000000,1.000000000,50.746441000,,,
1753950869.883225,,,,,,,,,,,,,,,,,95.000000000,497110364.000000000,1753950869.000000000,505505321.000000000,1753950869.000000000,8394957.000000000,0.000000000,1.000000000,,,,,,,,,,,,8.394957000
1753950870.385541,96.000000000,997264898.000000000,1753950869.000000000,6907530.000000000,1753950870.000000000,9642632.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,9.642632000,,
1753950870.883837,,,,,,,,,97.000000000,497427075.000000000,1753950870.000000000,506107629.000000000,1753950870.000000000,8680554.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,8.680554000,
1753950871.889388,98.000000000,497289496.000000000,1753950871.000000000,511442707.000000000,1753950871.000000000,14153211.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,14.153211000,,
1753950872.425615,,,,,,,,,,,,,,,,,,,,,,,,,99.000000000,997172156.000000000,1753950871.000000000,47885969.000000000,1753950872.000000000,50713813.000000000,0.000000000,1.000000000,50.713813000,,,
1753950872.884336,,,,,,,,,,,,,,,,,100.000000000,497093144.000000000,1753950872.000000000,506601775.000000000,1753950872.000000000,9508631.000000000,0.000000000,1.000000000,,,,,,,,,,,,9.508631000
1753950873.387852,101.000000000,997202578.000000000,1753950872.000000000,10287975.000000000,1753950873.000000000,13085397.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,13.085397000,,
1753950873.884254,,,,,,,,,102.000000000,497326403.000000000,1753950873.000000000,506538876.000000000,1753950873.000000000,9212473.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,9.212473000,
1753950874.891749,103.000000000,497323825.000000000,1753950874.000000000,506799301.000000000,1753950874.000000000,9475476.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,9.475476000,,
1753950875.425817,,,,,,,,,,,,,,,,,,,,,,,,,104.000000000,997340621.000000000,1753950874.000000000,46768416.000000000,1753950875.000000000,49427795.000000000,0.000000000,1.000000000,49.427795000,,,
1753950875.883545,,,,,,,,,,,,,,,,,105.000000000,497404818.000000000,1753950875.000000000,505889118.000000000,1753950875.000000000,8484300.000000000,0.000000000,1.000000000,,,,,,,,,,,,8.484300000
1753950876.384823,106.000000000,997451354.000000000,1753950875.000000000,6948968.000000000,1753950876.000000000,9497614.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,9.497614000,,
